date,home_team,away_team,tournament,neutral,home_score,away_score,outcome,home_win,h_win_rate,h_draw_rate,h_goals_scored_avg,h_goals_conceded_avg,h_clean_sheets_rate,h_goal_diff_avg,h_games_played,h_fifa_rank,h_elo,a_win_rate,a_draw_rate,a_goals_scored_avg,a_goals_conceded_avg,a_clean_sheets_rate,a_goal_diff_avg,a_games_played,a_fifa_rank,a_elo,rank_diff,elo_diff,h2h_win_rate,h2h_games
2018-06-02,México,Escócia,Friendly,0,1.0,0.0,home_win,1,0.5,0.3,1.5,0.9,0.5,0.6,10,16,1785,0.5,0.2,1.2,0.8,0.5,0.4,10,30,1670,-14,115,0.5,0
2018-06-02,Bélgica,Portugal,Friendly,0,0.0,0.0,draw,0,0.8,0.2,3.4,1.1,0.5,2.3,10,3,1930,0.7,0.2,2.0,0.9,0.4,1.1,10,5,1900,-2,30,0.0,1
2018-06-03,Croácia,Brasil,Friendly,1,0.0,2.0,away_win,0,0.5,0.2,1.1,0.7,0.4,0.4,10,10,1820,0.6,0.3,1.7,0.3,0.7,1.4,10,6,1980,4,-160,0.5,0
2018-06-03,Espanha,Suíça,Friendly,0,1.0,1.0,draw,0,0.7,0.3,3.4,0.8,0.5,2.6,10,2,1940,0.8,0.1,2.2,0.4,0.8,1.8,10,18,1770,-16,170,0.5,0
2018-06-04,Itália,Holanda,Friendly,0,1.0,1.0,draw,0,0.3,0.3,0.7,1.2,0.3,-0.5,10,9,1820,0.7,0.1,2.1,0.8,0.5,1.3,10,7,1870,2,-50,1.0,1
2018-06-06,Noruega,Panamá,Friendly,0,1.0,0.0,home_win,1,0.6,0.1,2.0,1.3,0.4,0.7,10,11,1815,0.4,0.2,1.3,1.5,0.4,-0.2,10,77,1455,-66,360,0.5,0
2018-06-06,Bélgica,Egito,Friendly,0,3.0,0.0,home_win,1,0.8,0.2,3.1,0.8,0.6,2.3,10,3,1930,0.3,0.3,0.7,0.8,0.3,-0.1,10,38,1630,-35,300,0.5,0
2018-06-07,Uruguai,Uzbequistão,Friendly,0,3.0,0.0,home_win,1,0.4,0.3,1.1,1.1,0.5,0.0,10,20,1740,0.2,0.2,0.4,0.9,0.3,-0.5,10,68,1495,-48,245,0.5,0
2018-06-07,Portugal,Argélia,Friendly,0,3.0,0.0,home_win,1,0.6,0.3,1.8,0.8,0.5,1.0,10,5,1900,0.4,0.0,1.5,1.4,0.3,0.1,10,36,1638,-31,262,0.5,0
2018-06-08,Alemanha,Arábia Saudita,Friendly,0,2.0,1.0,home_win,1,0.5,0.3,2.1,0.9,0.3,1.2,10,12,1810,0.3,0.2,1.0,1.6,0.4,-0.6,10,56,1530,-44,280,0.5,0
2018-06-08,Croácia,Senegal,Friendly,0,2.0,1.0,home_win,1,0.4,0.2,0.9,0.8,0.4,0.1,10,10,1820,0.4,0.6,1.2,0.4,0.7,0.8,10,19,1745,-9,75,0.5,0
2018-06-08,Suíça,Japão,Friendly,0,2.0,0.0,home_win,1,0.7,0.2,2.2,0.5,0.7,1.7,10,18,1770,0.3,0.2,1.2,1.8,0.1,-0.6,10,17,1775,1,-5,0.5,0
2018-06-09,França,Estados Unidos,Friendly,0,1.0,1.0,draw,0,0.7,0.2,2.1,0.8,0.5,1.3,10,1,1960,0.4,0.3,1.4,0.9,0.4,0.5,10,13,1805,-12,155,0.5,0
